productId,name,brand,sport,category,subcategory,ageGroup,experienceLevel,price,priceRange,stockQuantity,rating,reviewCount,description,benefits,tags,images,sizes,colors,active,featured
SP001,Comfort Walk Pro Shoes,StrideWell,Walking|Fitness,Footwear,Walking Shoes,45+,Beginner|Intermediate,79.99,Medium,85,4.6,328,Cushioned walking shoes with a wide toe box and supportive heel counter for everyday activity.,Joint support|Shock absorption|Stable grip,low-impact|wide-fit|daily-walk,https://example.com/images/sp001-1.jpg|https://example.com/images/sp001-2.jpg,6|7|8|9|10|11,Navy|Grey|Black,True,True
SP002,Active Support Knee Sleeve,FlexGuard,Walking|Running|Badminton,Support Gear,Knee Support,45+,All Levels,24.99,Low,140,4.5,512,Breathable compression sleeve designed to support the knee during low- and moderate-impact sports.,Compression|Joint stability|Reduced strain,knee-support|breathable|recovery,https://example.com/images/sp002-1.jpg,S|M|L|XL,Black|Blue,True,True
SP003,BalanceFit Yoga Mat 8mm,CalmCore,Yoga|Pilates,Equipment,Yoga Mat,45+,Beginner|Intermediate,34.99,Low,95,4.7,407,"Extra-cushioned non-slip mat that improves comfort for knees, wrists, and floor exercises.",Joint cushioning|Non-slip surface|Easy cleaning,yoga|pilates|low-impact,https://example.com/images/sp003-1.jpg|https://example.com/images/sp003-2.jpg,Standard,Teal|Purple|Grey,True,True
SP004,EasyGrip Resistance Band Set,MoveMore,Strength Training|Physiotherapy,Equipment,Resistance Bands,45+,Beginner|Intermediate,29.99,Low,120,4.4,286,"Five-band resistance set with handles, door anchor, and exercise guide for progressive strength work.",Muscle strength|Mobility|Portable workout,resistance-bands|home-fitness|rehab,https://example.com/images/sp004-1.jpg,Light|Medium|Heavy,Multi-color,True,False
SP005,Classic Carbon Badminton Racket,AeroPlay,Badminton,Equipment,Racket,45+,Beginner|Intermediate,59.99,Medium,52,4.5,194,Lightweight carbon-composite racket with a comfortable grip and balanced head for recreational doubles.,Lightweight handling|Control|Reduced arm fatigue,badminton|doubles|lightweight,https://example.com/images/sp005-1.jpg|https://example.com/images/sp005-2.jpg,4U,Black|Red,True,True
SP006,CushionCourt Badminton Shoes,AeroPlay,Badminton|Indoor Sports,Footwear,Court Shoes,45+,Intermediate,84.99,Medium,64,4.6,233,Non-marking court shoes with lateral support and soft cushioning for safer indoor movement.,Lateral stability|Shock absorption|Court grip,badminton|indoor|non-marking,https://example.com/images/sp006-1.jpg,6|7|8|9|10|11,White|Blue,True,False
SP007,SmartStep Activity Tracker,PulsePath,Walking|Fitness|Cycling,Wearables,Fitness Tracker,45+,All Levels,99.99,Medium,72,4.3,625,"Simple activity tracker with large display, heart-rate monitoring, sleep tracking, and step goals.",Activity monitoring|Heart-rate tracking|Motivation,wearable|step-counter|large-display,https://example.com/images/sp007-1.jpg,Adjustable,Black|Rose Gold,True,True
SP008,Low-Impact Elliptical Pedaler,HomeStride,Cycling|Rehabilitation,Equipment,Mini Pedal Exerciser,45+,Beginner,119.99,High,31,4.4,178,Compact seated pedaler with adjustable resistance for gentle cardio at home or under a desk.,Low-impact cardio|Leg mobility|Compact storage,pedal-exerciser|home-cardio|seated,https://example.com/images/sp008-1.jpg,Standard,Black|Silver,True,False
SP009,HydraSteel Sports Bottle 750ml,PeakHydrate,Walking|Yoga|Cycling|Fitness,Accessories,Water Bottle,All Adults,All Levels,19.99,Low,210,4.7,842,Insulated stainless-steel bottle with easy-open lid and slip-resistant grip.,Hydration|Temperature retention|Easy grip,bottle|insulated|bpa-free,https://example.com/images/sp009-1.jpg,750ml,Blue|Green|Black|Silver,True,False
SP010,Posture Support Training Tee,EaseActive,Walking|Yoga|Fitness,Apparel,Training T-Shirt,45+,All Levels,32.99,Low,105,4.2,149,Moisture-wicking training tee with relaxed fit and seam placement designed for unrestricted movement.,Breathability|Comfort|Freedom of movement,apparel|relaxed-fit|moisture-wicking,https://example.com/images/sp010-1.jpg,S|M|L|XL|XXL,Navy|Black|Olive,True,False
